id,street,street_number,city,postal_code,lat,lon,name
640,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Camp Reed Verwaltungs UG (haftungsbeschränkt)
641,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,WINDPOWER GmbH + Co. Windkraftwerk Regensburg KG
642,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windpower GmbH + Co. Berching 4 KG
643,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windpower GmbH + Co. UW Berching KG
644,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windkraft Oberpfälzer Jura GmbH + Co. KG
645,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windpower Verwaltungs-GmbH
646,Westheim,22,Regensburg,93049,49.02604373336948,12.058674100021578,Windpower GmbH + Co. Windkraftwerk Neumarkt I KG
647,Westheim,42,Regensburg,93049,49.02494602502772,12.05852957500467,Globalis Oase der Natur Hermann Rogl e.K.
648,Donaulände,7,Regensburg,93047,49.019775275039606,12.104956449912171,K+P Krankenhausplanungsgruppe GmbH
649,Donaulände,7,Regensburg,93047,49.019775275039606,12.104956449912171,A3 Gesellschaft von Architekten mbH
650,Emmeramsplatz,6,Regensburg,93047,49.01554714023818,12.092066189808412,VTS Veranstaltungs + Consult GmbH
651,Emmeramsplatz,6,Regensburg,93047,49.01554714023818,12.092066189808412,IMMO REAL GmbH
652,Emmeramsplatz,6,Regensburg,93047,49.01554714023818,12.092066189808412,VTS Veranstaltung + Consult GmbH
653,Emmeramsplatz,6,Regensburg,93047,49.01533410000325,12.092144799978431,VTS Veranstaltungs + Consult GmbH
654,Emmeramsplatz,6,Regensburg,93047,49.01533410000325,12.092144799978431,IMMO REAL GmbH
655,Emmeramsplatz,6,Regensburg,93047,49.01533410000325,12.092144799978431,VTS Veranstaltung + Consult GmbH
656,Hofgartenweg,2,Regensburg,93051,49.00685544002612,12.089597640020322,"Rudolf Mandl, Konditorei-Cafe-Bäckerei - Inhaber: Josef Schwarz"
657,Herrnholzbreite,38,Regensburg,93057,49.04982222503805,12.113414725017812,Kulturstiftung Regensburger Domspatzen e.V. Verein zur Förderung der Domspatzen
658,Hoher-Kreuz-Weg,14,Regensburg,93055,49.01233885003154,12.134272299999855,Wilhelm Kluge GmbH
659,Am Winterhafen,2,Regensburg,93059,49.02113800003495,12.109083059996609,Garant Immobilien GmbH
660,Am Winterhafen,2,Regensburg,93059,49.02113800003495,12.109083059996609,BGM Unternehmensberatung GmbH
661,Auweg,26,Regensburg,93055,49.01615230003368,12.127520900000016,RE-Solar GmbH
662,Auweg,26,Regensburg,93055,49.01615230003368,12.127520900000016,HM Treuhand GmbH Wirtschaftsprüfungsgesellschaft
663,Minoritenweg,20,Regensburg,93047,49.01687580007977,12.104581012509952,Bella Rosa Gastro GmbH
664,Minoritenweg,20,Regensburg,93047,49.01687580007977,12.104581012509952,Rosenpalais GmbH + Co. KG
665,Minoritenweg,20,Regensburg,93047,49.01687580007977,12.104581012509952,Rosenpalais Verwaltungsgesellschaft mbH
666,Minoritenweg,24,Regensburg,93047,49.016896375075206,12.105060775002409,Sirius Verwaltungs + Vermittlungsgesellschaft mbH
667,Auweg,12,Regensburg,93055,49.01563386693172,12.12508998903174,Regensburger Eisenhandel GmbH
668,Unter den Schwibbögen,13,Regensburg,93047,49.020245700020645,12.099049627271118,Quadriga Kommunikation GmbH
669,Unter den Schwibbögen,13,Regensburg,93047,49.020245700020645,12.099049627271118,PREGOBELLO GmbH
670,Unter den Schwibbögen,21,Regensburg,93047,49.0202762579307,12.100517726234708,capigo GmbH
671,Lindnergasse,4,Regensburg,93047,49.02016960003819,12.100042550009542,Förderverein TeilAuto Regensburg e.V.
672,Niedermünstergasse,2,Regensburg,93047,49.02000028339037,12.099982966697004,Feuchtinger + Gleichauf GmbH
673,Auweg,44 c,Regensburg,93055,49.01598235007632,12.131808525007836,"Tutti-Frutti Obst, Gemüse, Früchte Gugg + Grössl OHG"
674,Ostengasse,14,Regensburg,93047,49.01885962864427,12.104019461897163,Riepl Immobilien GmbH
675,Ostengasse,14,Regensburg,93047,49.01885962864427,12.104019461897163,RIEBAU Verwaltung GmbH
676,Ostengasse,14,Regensburg,93047,49.01885962864427,12.104019461897163,Riepl Beteiligungsgesellschaft mbH
677,Ostengasse,14,Regensburg,93047,49.01885962864427,12.104019461897163,Riepl Verwaltungsgesellschaft mbH
678,Ostengasse,14,Regensburg,93047,49.01885962864427,12.104019461897163,Riepl GmbH + Co. Entwicklungs KG
679,Ostengasse,14,Regensburg,93047,49.01885962864427,12.104019461897163,RIEBAU Verwaltung GmbH + Co. Projektentwicklungs KG
680,Ostengasse,14,Regensburg,93047,49.01885962864427,12.104019461897163,Josef Riepl Universalbau GmbH
681,Alter Kornmarkt,1,Regensburg,93047,49.01932035628903,12.099937493743033,Herzogshof Gaststättengesellschaft mbH
682,Schwanenplatz,1,Regensburg,93047,49.01886406678796,12.102366040032033,Hildegard Haber GmbH + Co. KG
683,Schwanenplatz,1,Regensburg,93047,49.01886406678796,12.102366040032033,Institut für Metallrestaurierung Georg Haber + Johann L.L. Brandner GmbH
684,Schwanenplatz,1,Regensburg,93047,49.01886406678796,12.102366040032033,Georg Haber Kirchliche Kunst e.K.
685,Schwanenplatz,1,Regensburg,93047,49.01886406678796,12.102366040032033,Georg Haber + Johann L.L. Brandner GmbH
686,Schwanenplatz,1,Regensburg,93047,49.01886406678796,12.102366040032033,TaxCon GmbH Steuerberatungsgesellschaft Wirtschaftsberatungsgesellschaft
687,Schwanenplatz,2,Regensburg,93047,49.01867221544969,12.10236810774532,Geigenbau Goldfuss GmbH + Co. KG
688,Schwanenplatz,2,Regensburg,93047,49.01867221544969,12.10236810774532,Geigenbau Goldfuss oHG
689,Schwanenplatz,2,Regensburg,93047,49.01867221544969,12.10236810774532,Geigenbau Goldfuss Verwaltungs GmbH
690,Kalmünzergasse,3,Regensburg,93047,49.01918888573666,12.102448828563592,Donaumarkt Grundstücks GmbH
691,Ostengasse,4,Regensburg,93047,49.019371662564495,12.102647375024798,Licaro GmbH
692,Ostengasse,4,Regensburg,93047,49.019371662564495,12.102647375024798,Car Office GmbH
693,Kalmünzergasse,5,Regensburg,93047,49.01899121669914,12.102353249949026,Musik Franz Winkelhöfer - Inhaber: Rainer Winkelhöfer
694,Hallergasse,6,Regensburg,93047,49.018419400030446,12.103834666584495,Riepl GmbH + Co. Grundstücks-KG
695,St.-Kassians-Platz,5,Regensburg,93047,49.01712323753451,12.09762615002728,Carl Roesch - Inhaber: Carmen Fernandez-Kirchlechner
696,Pfauengasse,1,Regensburg,93047,49.01842278579533,12.098070700023522,Volksbank Regensburg eG
697,Frauenbergl,2,Regensburg,93047,49.01862621827564,12.098155509066943,Kamax GmbH + Co. KG
698,Frauenbergl,2,Regensburg,93047,49.01862621827564,12.098155509066943,Kamax Verwaltungs-GmbH
699,Frauenbergl,2,Regensburg,93047,49.01862621827564,12.098155509066943,Dom-Apotheke Sonja Karl e.K.
700,Kapellengasse,2,Regensburg,93047,49.01851700008465,12.099391300066763,Preis + Preis OHG
701,Domplatz,4,Regensburg,93047,49.01899183338627,12.097724073259926,Fielmann AG + Co.
702,Domplatz,4,Regensburg,93047,49.01899183338627,12.097724073259926,Fielmann AG + Co. KG
703,Domplatz,4,Regensburg,93047,49.01899183338627,12.097724073259926,LEDA Handelsgesellschaft mbH
704,Drei-Kronen-Gasse,3,Regensburg,93047,49.01795061675509,12.10038968332976,DELUXE e.K. Haarstudio
705,Am Königshof,7,Regensburg,93047,49.015459660080246,12.100755580027286,Invenzio GmbH + Co. KG
706,Am Königshof,7,Regensburg,93047,49.015459660080246,12.100755580027286,Invenzio Verwaltungs GmbH
707,Am Königshof,7,Regensburg,93047,49.015459660080246,12.100755580027286,Ludwig Inkoferer Augenoptik - Uhren - Inhaber: Stefan Franke e.K.
708,Heiliggeistgasse,10,Regensburg,93047,49.01805366251238,12.104594050000513,Oriental Star GmbH
709,Ostengasse,10,Regensburg,93047,49.01909627503908,12.10351697499015,Optik Rupert Wagner - Inhaber: Gabriele Graf
710,Ostengasse,12,Regensburg,93047,49.01898841059229,12.103740573729382,Sanitätshaus Reichel + Platzer GmbH
711,Gichtlgasse,5,Regensburg,93047,49.01929400004194,12.103843675003104,HOME DECOR e.K.
712,Schattenhofergasse,7,Regensburg,93047,49.0193625200987,12.10515208005462,Hugo Schall GmbH + Co. KG
