id,street,street_number,city,postal_code,lat,lon
7805,Lorenzer Straße,12,Lappersdorf,93138,49.07240662503847,12.05560250000109
7806,Einhauser Straße,15,Lappersdorf,93138,49.07134542501929,12.054293099995624
7807,Turlweg,27a,Lappersdorf,93138,49.06988856669668,12.051293449982806
7808,Ringstraße,10,Lappersdorf,93138,49.071514450020615,12.05486714998818
7809,Turlweg,25,Lappersdorf,93138,49.07007456254152,12.051929412528985
7810,Ringstraße,14,Lappersdorf,93138,49.07104015002368,12.054816699992164
7811,Ringstraße,12,Lappersdorf,93138,49.07129367503129,12.054865324996646
7812,Turlweg,3,Lappersdorf,93138,49.07168575005529,12.053144649990257
7813,Ringstraße,16,Lappersdorf,93138,49.07082965003882,12.054741049999176
7814,Neupfarrplatz,11,Regensburg,93047,49.01787290003079,12.096423819895342
7815,Pfarrergasse,3,Regensburg,93047,49.01777868337506,12.09630934999151
7816,Pfarrergasse,1,Regensburg,93047,49.01792260003679,12.09629619997276
7817,Neupfarrplatz,10,Regensburg,93047,49.01783576015574,12.096675370064611
7818,Obere Bachgasse,5,Regensburg,93047,49.018040900008025,12.09491342858115
7819,Obere Bachgasse,1,Regensburg,93047,49.018213100047824,12.094995414277678
7820,Augustinerplatz,1b,Regensburg,93047,49.01765726669458,12.095589249983624
7821,Pfarrergasse,8,Regensburg,93047,49.01728757502562,12.0957818250116
7822,Augustinerplatz,1a,Regensburg,93047,49.01751612512224,12.09541593755936
7823,Augustinerplatz,3,Regensburg,93047,49.017374200030446,12.095287120012204
7824,Rote-Stern-Gasse,3,Regensburg,93047,49.01714580002131,12.095620259997458
7825,Augustinergasse,3,Regensburg,93047,49.01769970002437,12.095170749980648
7826,Neupfarrplatz,12,Regensburg,93047,49.01790040004358,12.09602443322191
7827,Pfarrergasse,6,Regensburg,93047,49.0174066667454,12.095747166752274
7828,Obere Bachgasse,3a,Regensburg,93047,49.01804572500367,12.094970362491972
7829,Neupfarrplatz,15,Regensburg,93047,49.01802876669991,12.095511849927938
7830,Pfarrergasse,4,Regensburg,93047,49.017553116775694,12.095748583380544
7831,Pfarrergasse,10,Regensburg,93047,49.01719674447077,12.095684711156514
7832,Augustinerplatz,1,Regensburg,93047,49.01757180001699,12.09513722500122
7833,Augustinerplatz,2,Regensburg,93047,49.01745450003974,12.095314750019616
7834,Obere Bachgasse,3,Regensburg,93047,49.01811191667619,12.09491049999744
7835,Neupfarrplatz,13,Regensburg,93047,49.01801267503971,12.095948424941174
7836,Rote-Stern-Gasse,1,Regensburg,93047,49.01723684291428,12.095437642889015
7837,Augustinerplatz,4,Regensburg,93047,49.01726496668405,12.095205466675754
7838,Pfarrergasse,2,Regensburg,93047,49.01771058342628,12.0958990832549
7839,Neupfarrplatz,14,Regensburg,93047,49.01792426674413,12.095700516392846
7840,Neupfarrplatz,16,Regensburg,93047,49.0181651857838,12.09526715720292
7841,Augustinerplatz,1c,Regensburg,93047,49.017811000132085,12.095348800096328
7842,Wahlenstraße,15,Regensburg,93047,49.01927745011416,12.095698375068006
7843,Neupfarrplatz,2,Regensburg,93047,49.01848508337594,12.095561383343918
7844,Tändlergasse,16,Regensburg,93047,49.01923847503173,12.09594600002498
7845,Tändlergasse,24,Regensburg,93047,49.0188402800202,12.095840940001358
7846,Tändlergasse,6,Regensburg,93047,49.019703500028896,12.096188174995971
7847,Neupfarrplatz,3,Regensburg,93047,49.01847464002774,12.09573854001576
7848,Neupfarrplatz,5,Regensburg,93047,49.01868806001514,12.095805820006074
7849,Tändlergasse,20,Regensburg,93047,49.01899715002056,12.095855075004035
